filename,ra,dec,lag_ms,lag_error,is_significant,lag_type
glg_tte_n9_bn180615462_v00.fit,60.46875,78.28414760510762,-13999.011724251208,1.0,True,negative
glg_tte_n9_bn180617872_v00.fit,108.28125,24.95302078772749,-40770.060164788854,1.0,True,negative
glg_tte_n9_bn180618030_v00.fit,343.25,39.933,-3470.8680039366172,1.0,True,negative
glg_tte_n9_bn180618724_v00.fit,318.1640625,5.979156796301309,-1300.4844482432575,1.0,True,negative
glg_tte_n9_bn180620354_v00.fit,145.8984375,13.24801490567694,23230.523831655566,1.0,True,positive
glg_tte_n9_bn180620660_v00.fit,330.3833,-60.933,29290.892228453376,1.0,True,positive
glg_tte_n9_bn180622273_v00.fit,210.37500000000003,-75.34073424154307,-16069.514753212257,1.0,True,negative
glg_tte_n9_bn180622578_v00.fit,113.75,76.81353334098655,11710.26131373929,1.0,True,positive
glg_tte_n9_bn180623849_v00.fit,199.68749999999997,-3.2843691083657958,-62049.370914789244,1.0,True,negative
glg_tte_n9_bn180625941_v00.fit,37.6875,-60.43443884495229,4257.289547514057,1.0,True,positive
glg_tte_n9_bn180626392_v00.fit,288.508064516129,43.406858485936986,14519.397057027005,1.0,True,positive
glg_tte_n9_bn180630335_v00.fit,130.98214285714283,-69.42254649458224,28629.888229820448,1.0,True,positive
glg_tte_n9_bn180630467_v00.fit,146.25,-88.53802883735192,-85311.06411784983,1.0,True,negative
glg_tte_n9_bn180701469_v00.fit,201.09375,-16.64603991239297,-46142.200120551286,1.0,True,negative
glg_tte_n9_bn180703876_v00.fit,347.4264705882353,-64.94808409550689,558.848910399755,1.0,True,positive
glg_tte_n9_bn180703949_v00.fit,95.2734375,-28.630989836924357,21560.232249446806,1.0,True,positive
glg_tte_n9_bn180706351_v00.fit,189.0167,56.383,24710.07365977503,1.0,True,positive
glg_tte_n9_bn180709099_v00.fit,331.875,-26.27681155719998,-58260.19020502441,1.0,True,negative
glg_tte_n9_bn180710062_v00.fit,199.68749999999997,-31.039240010397894,9839.483517416764,1.0,True,positive
glg_tte_n9_bn180712651_v00.fit,303.3984375,-20.742379954487145,82750.3118817593,1.0,True,positive
glg_tte_n9_bn180715087_v00.fit,333.28124999999994,39.065494664452594,-19748.649189650303,1.0,True,negative
glg_tte_n9_bn180715741_v00.fit,210.5357142857143,79.75282793472046,60150.45143147695,1.0,True,positive
glg_tte_n9_bn180715755_v00.fit,232.03124999999997,-2.686724185691605,8838.86934954491,1.0,True,positive
glg_tte_n9_bn180718082_v00.fit,330.8203125,-2.3880154632687858,9479.036881116406,1.0,True,positive
glg_tte_n9_bn180718201_v00.fit,10.875000000000002,-44.99388015045713,-7829.904955358087,1.0,True,negative
glg_tte_n9_bn180718763_v00.fit,45.0,-31.039240010397894,-10379.812647484237,1.0,True,negative
glg_tte_n9_bn180720213_v00.fit,126.91406249999996,-1.1937484371410847,41040.46301292937,1.0,True,positive
glg_tte_n9_bn180720933_v00.fit,272.4609375,-25.944479772370013,-47420.13840401799,1.0,True,negative
glg_tte_n9_bn180721642_v00.fit,233.08593749999997,13.24801490567694,-53069.10712992788,1.0,True,negative
glg_tte_n9_bn180722120_v00.fit,111.44531249999999,-19.4712206344907,-9318.83551334144,1.0,True,negative
glg_tte_n9_bn180722418_v00.fit,312.53906249999994,18.209956864283004,84311.6809710127,1.0,True,positive
glg_tte_n9_bn180722993_v00.fit,57.30468749999999,38.68218745348943,13748.691895858121,1.0,True,positive
glg_tte_n9_bn180723133_v00.fit,103.359375,-66.44353569089876,-15721.445420913331,1.0,True,negative
glg_tte_n9_bn180723757_v00.fit,7.734374999999999,-66.44353569089876,-230.25069921332312,1.0,True,negative
glg_tte_n9_bn180724807_v00.fit,285.11718749999994,-32.79716829582364,10029.808931797901,1.0,True,positive
glg_tte_n9_bn180724984_v00.fit,62.22656250000001,-25.944479772370013,4270.16350194636,1.0,True,positive
glg_tte_n9_bn180727594_v00.fit,2.556818181818182,-57.39952353962295,38779.45687050734,1.0,True,positive
glg_tte_n9_bn180728575_v00.fit,222.1875,1.4922462896203395,-4540.586264092299,1.0,True,negative
glg_tte_n9_bn180728728_v00.fit,267.3214285714286,-58.91977535280316,-139.3537561399125,1.0,True,negative
glg_tte_n9_bn180728882_v00.fit,236.60156249999994,13.24801490567694,23598.954427881086,1.0,True,positive
glg_tte_n9_bn180730018_v00.fit,100.5241935483871,43.406858485936986,15028.306698806018,1.0,True,positive
glg_tte_n9_bn180731891_v00.fit,309.7265625,20.74237995448713,7311.312843734951,1.0,True,positive
glg_tte_n9_bn180801276_v00.fit,247.49999999999997,-6.279288322550267,23167.42893037777,1.0,True,positive
glg_tte_n9_bn180801492_v00.fit,15.267857142857142,-69.42254649458224,-11588.585393876987,1.0,True,negative
glg_tte_n9_bn180803590_v00.fit,72.6923076923077,56.25546743858108,120748.90833288318,1.0,True,positive
glg_tte_n9_bn180804554_v00.fit,135.3515625,-31.388166464348547,28419.579194169648,1.0,True,positive
glg_tte_n9_bn180804765_v00.fit,138.515625,-66.44353569089876,69430.73945839008,1.0,True,positive
glg_tte_n9_bn180804909_v00.fit,178.24218749999997,29.999999999999993,15640.17864483192,1.0,True,positive
glg_tte_n9_bn180804931_v00.fit,106.875,-69.42254649458224,33860.64309028474,1.0,True,positive
glg_tte_n9_bn180805543_v00.fit,29.53125,-7.481631264246963,20369.253693663424,1.0,True,positive
glg_tte_n9_bn180806665_v00.fit,30.585937499999996,-20.742379954487145,78969.61995018752,1.0,True,positive
glg_tte_n9_bn180806944_v00.fit,10.898437499999998,28.630989836924346,-3130.8173331917355,1.0,True,negative
glg_tte_n9_bn180807097_v00.fit,348.75,-46.571847413449596,-4011.05196538093,1.0,True,negative
glg_tte_n9_bn180809485_v00.fit,301.9921875,-35.68533471265204,-2170.215549205676,1.0,True,negative
glg_tte_n9_bn180810278_v00.fit,31.289062499999996,-34.228866327812575,28699.852940165096,1.0,True,positive
glg_tte_n9_bn180812349_v00.fit,231.05769230769232,70.90666664467562,-31979.035841466954,1.0,True,negative
glg_tte_n9_bn180814505_v00.fit,281.24999999999994,-3.2843691083657958,-8439.472738539058,1.0,True,negative
glg_tte_n9_bn180816088_v00.fit,126.91406249999996,-37.168899655999454,-60569.000830117846,1.0,True,negative
glg_tte_n9_bn180816930_v01.fit,212.34375,14.785930226053416,30218.534859378375,1.0,True,positive
glg_tte_n9_bn180818179_v01.fit,174.0234375,34.228866327812575,-53208.35421601972,1.0,True,negative
glg_tte_n9_bn180818520_v00.fit,100.1953125,27.279612735978088,-37171.05938241745,1.0,True,negative
glg_tte_n9_bn180821653_v00.fit,306.9140625,-37.168899655999454,-46791.147040160206,1.0,True,negative
glg_tte_n9_bn180822423_v00.fit,209.53124999999997,-17.270004694974464,17630.012680878543,1.0,True,positive
glg_tte_n9_bn180822562_v00.fit,186.1875,-60.43443884495229,25029.267928790974,1.0,True,positive
glg_tte_n9_bn180823442_v00.fit,1.7578124999999998,27.279612735978088,-24730.58377788606,1.0,True,negative
glg_tte_n9_bn180826055_v00.fit,61.87499999999999,-21.061817601649306,15630.88089187475,1.0,True,positive
glg_tte_n9_bn180828790_v00.fit,269.64843749999994,-23.31795706533424,-560.9673542389057,1.0,True,negative
glg_tte_n9_bn180905400_v00.fit,292.5,12.941631985423339,-9780.275434847672,1.0,True,negative
glg_tte_n9_bn180906597_v00.fit,105.75,-67.93492864899142,15030.870225251998,1.0,True,positive
glg_tte_n9_bn180906759_v00.fit,272.25,-67.93492864899142,21991.61360468028,1.0,True,positive
glg_tte_n9_bn180906988_v00.fit,320.625,3.8823720030295576,-76181.19140302323,1.0,True,negative
glg_tte_n9_bn180910032_v00.fit,184.32692307692307,70.90666664467562,31147.106991842404,1.0,True,positive
glg_tte_n9_bn180910156_v00.fit,352.61718749999994,0.0,17299.825645436074,1.0,True,positive
glg_tte_n9_bn180910352_v00.fit,263.3203125,-35.68533471265204,-39610.67150036875,1.0,True,negative
glg_tte_n9_bn180912274_v00.fit,202.8515625,-25.944479772370013,88268.76899224297,1.0,True,positive
glg_tte_n9_bn180913783_v00.fit,350.20161290322585,43.406858485936986,30519.44173160834,1.0,True,positive
glg_tte_n9_bn180914522_v00.fit,48.8671875,-4.78019184719916,-28430.763983881494,1.0,True,negative
glg_tte_n9_bn180917477_v00.fit,164.8667,3.7,-93158.57011088048,1.0,True,negative
glg_tte_n9_bn180922461_v00.fit,19.3359375,-1.1937484371410847,2379.8666389778327,1.0,True,positive
glg_tte_n9_bn180922734_v00.fit,342.0703125,-19.4712206344907,-16530.342494522858,1.0,True,negative
glg_tte_n9_bn180923931_v00.fit,311.1328125,0.0,-2091.669336167481,1.0,True,negative
glg_tte_n9_bn180925407_v00.fit,178.9453125,-24.62431835216409,6788.88226687331,1.0,True,positive
